标题,帖子数,日期,情感
KK9898    聊了几句    小小鸟，你们几个二货从,6714,10,2017-07-27 15:28:36,0.768030599028393
康美药业(600518)融资融券信息(08-04),5841,3,2017-08-05 07:41:44,0.9403317027800453
康美药业(600518)融资融券信息(07-10),5775,4,2017-07-11 07:41:51,0.9403317027800453
事件点评：10天内落地获批广东省中药配方颗粒开,38297,9,2017-07-05 10:10:10,0.238165604564317
关注中药材涨价,79283,99,2016-11-04 15:42:49,0.7975923573760709
康美，论质地没的说!论股价没法说!,6435,8,2016-09-05 06:49:52,0.4867421387960619
寻到涨50倍的下一个恒瑞，要复制恒瑞需满足6个,7947,7,2017-07-29 08:26:10,0.9989557398990138
不能收在21.20以上，就不玩了！,6753,8,2017-06-30 12:42:40,0.10346202974413543
我昨天就告诉大家赶紧跑。你们吧信啊。,5294,26,2017-07-06 11:13:56,0.3266829051172936
赚翻啦！[鼓掌][鼓掌][鼓掌],4107,6,2017-06-13 09:13:26,0.8617773218373111
早盘拉升，下午必跌。 早盘下跌，尾盘必拉。 此,25257,55,2017-06-02 15:10:59,0.08539202900088327
价高估出不如全转买*惊天一路一带龙头600307酒,24777,67,2017-05-01 21:06:56,0.5212607337585012
600518:康美药业关于全资子公司收购广州并持医,32033,8,2017-07-26 18:30:34,0.948762499372599
600518:康美药业:广东新澳医药有限公司审计报告,26318,2,2016-09-29 19:10:00,0.982010566920407
康美药业尾盘狂拉，明显是股价操纵行为，应该遭,11201,8,2017-07-13 15:02:57,0.9058699508745479
保卫个屁啊亏损企业还谈什么保值，,3619,7,2017-07-26 15:51:21,0.20374037445632598
市值保卫战,9719,13,2017-07-12 19:11:54,0.2883928661326973
21.99做空成功！烂臭到头啦！[胜利],6602,8,2017-07-03 10:06:23,0.3275052186839259
真服了这个比拉，日线能走出40根绿住，那个股也,6545,11,2017-07-25 15:15:52,0.008912810253594028
康美药业(600518)大宗交易数据一览(07-18),30263,6,2017-07-18 17:58:44,0.5524166593405974
22怎么这么难上啊,9499,12,2017-07-03 09:43:59,0.40283610801854797
600518:康美药业关于收购重庆瑞泰医药有限公司1,54876,21,2017-05-19 16:30:19,0.9862880881499672
康美药业： 今天开始发表评论：当然碰到争议是,10151,8,2017-07-22 20:52:19,0.7071847833064805
600518:康美药业关于全资子公司收购福州众博恒,40172,8,2017-02-28 18:53:18,0.9931262746834406
革命性熊市如何熬过,12841,11,2017-07-17 18:31:37,0.879443356633473
康美已走到尽头,12833,47,2017-07-05 14:47:50,0.8536807779033626
2017年操作记录,51879,83,2017-01-04 22:58:40,0.5740828281729752
上证6000点己10年了吧,4850,33,2017-06-24 15:21:42,0.25230075918974204
600518:康美药业2017年度第一期中期票据发行结,31888,9,2017-07-17 18:51:10,0.8181732093339067
600518:康美药业:深圳市日曼医药有限公司审计报,26070,2,2016-09-29 19:10:00,0.8563422837203056
600518:康美药业关于全资子公司收购包头市华盈,27071,4,2017-04-25 19:01:47,0.9578505240801379
600518:康美药业关于全资子公司收购山西俞宏康,42311,14,2017-06-21 18:41:08,0.9413610181818507
这是机构在互相绞杀，这就是成长中的悲壮，要有,9262,7,2017-07-13 11:55:52,0.9911362745107561
已很不错了，安居宝 300155跌了一年半了,10439,81,2017-07-04 13:14:15,0.6334349625881094
康美药业，想干什么，60线跌破了,10492,10,2017-07-12 15:05:07,0.004136751193283605
周五早盘沪深两市涨跌不一,5126,43,2017-07-08 02:36:19,0.58207056721324
今天轮到护盘，值日,4627,31,2017-06-23 14:07:35,0.5486976325915089
死股，喋喋不休,4573,38,2017-06-23 10:23:40,0.03976935315152508
终于等到康美药业上22元，突破了,9555,17,2017-06-12 10:11:00,0.9668762971528585
发现价值，创造价值，分享价值,19952,42,2017-06-30 19:34:20,0.9524493078500602
600518:康美药业2016年年度权益分派实施公告,64899,6,2017-06-21 18:41:09,0.8486091092561222
康美获得省内中药颗粒试生产的批文，真的是历史,16421,12,2017-06-30 22:08:58,0.9977827177504167
获批广东省内资质，配方颗粒巨头隐显,36507,2,2017-07-03 15:25:47,0.7158395412412466
2017年6月2O日  星期二 A股前瞻] 6-20早盘信息,3319,5,2017-06-20 09:22:50,0.0194301047454164
康美今天就会給大家一个惊喜!拭目以待!,10269,8,2017-07-07 12:17:58,0.9816188492242951
分时看上涨无量下跌有量，主力在做头迹象。,9223,21,2017-06-09 11:16:52,0.05635546460582708
600518:康美药业关于获得广东省食品药品监督管,34934,14,2017-07-04 16:32:52,0.0038933437742565413
站在跳台边缘，继续等待跳水命令，…小票涨的欢,4843,15,2017-07-03 11:17:33,0.3792030998196102
康美，辉煌成长20年!再看康美，再辉煌成长20年!,8090,6,2017-07-02 21:26:21,0.9999955720699915
分红到账，只是太少!,16132,29,2017-06-28 19:26:00,0.09292291295848965
热烈庆祝康美成立20周年、破千亿市值2周年！,23021,13,2017-07-01 15:44:35,0.934880221300968
公司是重要的融资平台。三聚定增,4940,14,2017-05-26 17:47:57,0.9295452930162826
600518:康美药业关于获得广东省食品药品监督管,46196,13,2017-06-30 16:40:38,0.0038933437742565413
康美一般不涨。涨起来我都害怕,10891,12,2017-06-12 13:44:29,0.869975393176424
600518:康美药业2016年度优先股股息派发实施公,36696,5,2017-06-21 18:41:08,0.6315537014840469
康美药业三度上榜“最佳商业模式上市公司”,2758,11,2015-12-27 17:16:18,0.5517964315627882
康美药业一项目入选国家火炬、重点新产品计划,2492,13,2015-12-28 00:24:31,0.9450961734702811
康美可以不这么热闹么,3127,12,2015-12-11 16:06:53,0.7654879656076536
近期康美会有好的表现,7010,23,2015-12-25 11:23:50,0.9677104898447052
中药：国际化提速 行业将迎新增长,52228,34,2015-12-14 13:43:14,0.6294334027272788
明晟标的股，振兴中药标的股，大健康标的股，中,10802,7,2017-06-22 19:21:33,0.21836658868953518
康美药业迎来长周期拐点,197819,566,2016-12-31 23:18:43,0.5832271429105618
复星闪崩康美还好！,3607,7,2017-06-22 14:27:53,0.8597555465668814
上班了,3927,17,2017-05-25 14:12:11,0.34782608695652206
你能早点起床么尾盘哥[傲],1619,16,2017-05-25 13:25:19,0.21971696286650888
攻克25，全民奔小康!我们配合主力不减持!承诺!,7664,6,2017-06-12 12:42:55,0.8584501410630232
康美药业一定要注意的隐藏风险，它的销售模式是,8858,9,2017-06-11 08:54:21,0.823105772587234
高度控盘，再创新高,13395,55,2017-06-02 11:12:08,0.45636046246561535
康美药业(600518)大宗交易数据一览(06-02),42084,9,2017-06-02 18:58:51,0.5524166593405974
主力不停的拿 8759手 在秀“肌肉”，一定要稳住,20594,30,2015-12-17 10:16:05,0.7911731839364453
关于中国股市的价值投资,33826,45,2017-05-13 13:00:50,0.9948104479551199
康美药业(600518)大宗交易数据一览(06-12),37328,14,2017-06-12 18:43:27,0.5524166593405974
万庆良受贿过亿涉及康美药业！,7960,20,2015-12-26 15:40:07,0.9437553000139656
乐见8759哥入驻，大家鼓掌,6340,22,2015-12-23 13:11:19,0.6933942664610768
28天券商能翻几倍?MSCI将于6月20日公布是否纳入,11356,14,2017-05-23 12:28:56,0.00874761287764847
为企业家精神和企业家素质买单,21221,21,2017-06-02 12:35:12,0.6778149535676238
康美药业拟在深圳宝安建大型药品交易中心,5799,7,2015-11-10 23:24:24,0.29873204678769105
康美在奔向26元的路上,16577,9,2017-06-12 12:11:12,0.7334937473882746
辉煌终有时！！！,14415,12,2017-06-02 12:16:58,0.9205952419171387
康美药业(600518)融资融券信息(06-02),7940,3,2017-06-03 07:42:23,0.9403317027800453
600518:康美药业关于完成部分限制性股票回购注,37457,9,2017-06-08 23:44:22,0.7405835945828607
7.1司庆日，希望公司股价破历史高点!全国股东与,11551,8,2017-06-09 06:11:58,0.9082461317628502
600518:康美药业关于控股股东及高管增持股份计,56388,19,2017-05-15 19:20:14,0.858769399881656
600518:康美药业关于设立全资子公司的公告,30456,9,2017-06-06 18:28:37,0.5238844078567919
康美药业：5亿元设立子公司 深耕“智慧+大健康,27931,4,2017-06-06 19:18:10,0.9965570485978172
康美比茅台更具长期价值,35633,36,2017-04-23 15:18:07,0.8668499777987695
康美缺少象样的调整，如能下调百分之十，对大家,8749,12,2017-06-01 16:53:00,0.7120649936496425
600518:康美药业关于控股股东及高管增持股份计,33850,21,2017-05-10 19:55:26,0.858769399881656
相信康美今天一定可以红盘[鼓掌],12554,12,2017-05-31 11:20:49,0.9176083790867524
600518:康美药业关于控股股东股票质押式回购交,39556,20,2017-05-26 19:19:23,0.670409624564768
康美药业之大数据分析：未来三年股价将会实现三,183550,146,2015-08-27 19:20:29,0.9980037208133496
康美药业(600518)大宗交易数据一览(05-23),32446,6,2017-05-23 18:48:18,0.5524166593405974
我本人是坚决看好康美药业，仅供参考。,14753,9,2017-05-27 15:48:07,0.705861564605143
康美药业(600518)大宗交易数据一览(05-26),36159,16,2017-05-26 18:15:38,0.5524166593405974
小心康美药业补跌！！！！我的女朋友是在天虹任,8954,6,2017-05-15 19:13:17,0.6132953240195915
康美增持，时机、时点选择适当!体现了康美企业,12651,10,2017-05-21 06:28:40,0.9847053899312671
增持投资5个亿换来市值增加100亿，一个字，值!,7109,8,2017-05-23 06:19:48,0.7993876647595614
哈哈哈哈，又删了我三次贴了。继续发。 完全按,12386,22,2017-05-26 15:12:39,0.28469950311686065
康美药业：控股股东及高管计划增持股份,26034,23,2017-05-10 20:23:39,0.7893834302380961
回看历史行情，基本上每年的五六月分份都处于当,7119,8,2017-05-09 12:58:14,0.9908667182733536
康美药业(600518)融资融券信息(05-16),6785,4,2017-05-17 08:02:43,0.9403317027800453
康美药业：控股股东继续增持6311万元,54231,12,2017-05-16 16:40:41,0.7166186222359299
600518:康美药业关于控股股东及高管增持股份计,69259,18,2017-05-25 19:09:22,0.858769399881656
事件点评：大股东拟大手笔增持彰显信心，持续强,68417,4,2017-05-11 13:11:32,0.9662567683577341
康美药业被媒体曝光了。,19098,10,2017-05-26 15:43:32,0.8983200857881829
康美药业获控股股东增持6.16亿元,18229,5,2017-05-25 22:42:31,0.914155969325129
康美药业：获控股股东斥资6.16亿元增持,58845,8,2017-05-25 19:25:34,0.9055474069978939
好股！！老美强！！！,7635,27,2017-05-18 15:07:25,0.3719121205167235
康美药业(600518)大宗交易数据一览(05-18),41871,10,2017-05-18 18:31:20,0.5524166593405974
既然是增持就不可能给自己把股价拉那么高!一切,9192,8,2017-05-16 21:31:45,0.6977242441465523
600518:康美药业关于控股股东及高管增持股份计,66511,18,2017-05-17 18:46:13,0.858769399881656
离下跌没多远了,12246,42,2017-05-19 14:59:17,0.4654838868796566
600518:康美药业2016年年度股东大会的法律意见,10218,2,2017-05-10 19:55:16,0.9908180362692589
高管增持说明公司的投资价值!对比白药说明公司,3029,5,2017-05-16 07:30:46,0.9921674806724249
600518:康美药业2011年公司债券跟踪评级报告(20,19425,6,2017-05-19 18:22:09,0.7004375966275708
600518:康美药业关于收购重庆瑞泰医药有限公司1,48102,10,2017-05-23 17:50:07,0.9862880881499672
600518:康美药业2016年年度股东大会决议公告,24380,2,2017-05-10 19:56:30,0.9091707863360861
康美药业 看到没有，前面有一避雷针，后面大跌,25405,36,2017-05-11 21:22:22,0.4814622109364354
点评：康美药业,3047,11,2016-03-14 10:13:55,0.6967341968762192
康美将延续赢利王的头衔,30801,28,2016-09-27 18:14:54,0.9958033258471507
再谈大股东增持动机和效果,29904,19,2017-05-16 19:28:58,0.9112323027033039
看今天中恒的走势，与康美25日走势相似啊，康美,19934,18,2015-12-01 15:11:15,0.8699393192364754
600518:康美药业:内部控制审计报告,8171,9,2017-04-19 19:33:53,0.8399588685823973
600518:康美药业关于控股股东及高管增持股份计,45109,11,2017-05-16 16:26:29,0.858769399881656
要从徐冬谨增持看格局来,21894,19,2017-05-12 10:43:28,0.9354007499170041
3.15打假，跑,3203,13,2016-03-14 10:47:47,0.482433935218619
主力建仓完毕，大盘周一高开，康美高开两个点，,7582,12,2016-03-12 23:37:28,0.04764563609659189
就为了这股票代码，也要买他,2370,54,2017-05-12 15:01:20,0.80755062785781
[不赞][不赞][不赞][不赞],2151,12,2017-04-25 09:57:56,0.9984464339814295
康美你赢了，但我没有勇气买你，祝福康美的散户,9528,5,2017-05-06 00:14:59,0.9993626642769096
小美突破，恭喜仍在坚持的童鞋们！,12935,13,2017-05-12 20:34:24,0.8630573418745034
600518:康美药业关于控股股东及高管增持股份计,57348,15,2017-05-12 19:59:54,0.858769399881656
康美的高管是有大智慧和责任感的企业家!贊你们!,8215,8,2017-05-10 20:11:28,0.9140012066959831
好股！！[赞][赞][赞][赞][赞],2448,10,2017-04-24 15:13:30,0.9999713420047346
600518:康美药业2016年度内部控制评价报告,6823,6,2017-04-19 19:34:32,0.7609298058224034
贺新版开张，继续发牛犊子，看到就是赚，速度进,15853,46,2016-06-04 16:42:44,0.2974598682608426
今天能破20不,8868,16,2017-05-11 10:00:01,0.22093157609898229
你敢信，还没解套[不屑]。15年11月26日高位18.2,13650,10,2017-03-21 15:26:57,0.10110755872023514
康美药业(600518)高管持股变动信息(5-11),24618,7,2017-05-11 19:00:56,0.4385447854800333
600518:康美药业关于控股股东及高管增持股份计,36162,18,2017-05-11 18:43:25,0.858769399881656
康美药业控股股东拟增持逾5亿元,23019,7,2017-05-10 22:35:15,0.2892724647905416
康美药业药房托管被指涉嫌垄断 医疗合作遭抵制,29196,29,2017-05-06 12:49:12,0.8950016978882204
各大师什么原因？？我打19,88竞然卖出了五百股,7703,11,2017-05-09 15:04:51,0.46501435693592663
都怪我，每次好好的票，只要我一买就跌，害了各,3524,15,2017-04-25 15:02:11,0.1161238884571627
——康美药业 千万不要被表面给眯会，实际暗藏,18543,7,2017-05-05 09:32:35,0.6149843062010122
600518:康美药业2017年第一季度报告,55855,8,2017-04-28 03:07:19,0.9290769723916459
康美药业未来一年必然迎来30~50%涨幅,19829,14,2017-05-03 15:02:46,0.8916598646896841
康粑粑一年就张一快钱叫上涨的股票,.有价值投资,6410,5,2017-04-05 15:23:27,0.19781048072919716
呼气，吸气，呼气,5304,23,2017-04-13 11:44:11,0.048216153674714546
康美药业一一短期震荡的概率较大。,16656,33,2016-04-01 11:09:08,0.935346281170182
中医药龙头承载中国梦，医疗服务铸康美巨舰,51055,3,2017-05-03 15:31:11,0.9948191953350771
2017一季报点评：净利润端短期受税率影响，不改,26412,1,2017-05-02 14:19:27,0.11708546147741028
大利空，原来一切都是假的。,4329,0,2016-12-29 19:35:54,0.41208498063016197
康美药业被曝中药饮片不合格 回应：检验标准依,21053,17,2017-04-24 15:37:26,0.7781441444657348
价高位出了下来全转最价值成长股*000883湖北能,3806,5,2017-03-31 12:56:48,0.9958486187193388
严重的老鼠仓在作怪！为何会没有人查呢？[不屑],5156,7,2016-12-29 17:09:50,0.026174224759824893
大水货,4174,5,2017-03-31 13:04:53,0.13903288720318352
跑道修的那么好,4069,1,2017-03-01 11:11:39,0.38679243517171125
莫为税率遮望眼，1Q业绩实增23%,27143,11,2017-04-28 10:13:43,0.6757059493629836
不是今天要发布季报的吗？怎么还不出来？,11559,23,2017-04-27 19:30:18,0.4897236853933741
什么股票来的！！！大盘红它还绿？！！狗庄！！,4691,21,2016-08-18 11:33:40,0.21798119426742535
康美药业要收购县人民医院了，正在洽谈,10762,19,2017-04-25 09:57:35,0.9971439140454683
海康威视是你的榜样，加油！,3559,10,2017-04-25 11:40:23,0.9478047415336
振幅加大，蠢蠢欲动[鼓掌],3113,13,2017-04-25 10:56:47,0.6125650533944218
康美药业可以买吗,3235,9,2017-04-24 18:12:06,0.7801296053087258
康美有担当！既是标准不同，就不是企业的短期行,2999,13,2017-04-24 17:04:06,0.9295391317444526
600518康美药业，挺强。。,2923,11,2017-04-24 17:24:53,0.7168168834557923
明天，后天，大盘都会红，康美告一段落,2923,11,2017-04-25 14:48:18,0.5184400720750454
22的本，也是醉了，完全看不懂走向，一直在跌,7929,22,2017-04-25 10:38:20,0.8977105416533094
世界海洋强国维护和平打造国产航母海军建军节4,2407,10,2017-04-24 11:14:58,0.9998818857790291
《概念股》云南能投 井神股份 云图控股,2183,9,2017-04-24 10:36:40,0.8678147542376
昨天19.11买了5200股，赚到了，今天挂个20.11，,3799,10,2017-04-25 07:51:51,0.30121437427035425
尾盘狂拉是什么意思？？？,6357,13,2017-04-25 15:02:51,0.021791452595900096
600518:康美药业关于2016年度日常关联交易执行,19576,8,2017-04-25 19:02:17,0.8807132297760537
从经济发展阶段看本轮牛市的热点。近十年来，先,5641,10,2017-04-05 22:52:57,0.9973428413670484
出了个回复公告 又可以故意短时杀跌一下,2686,8,2017-04-24 09:49:55,0.007546537826494837
为康美今天的表现喝彩[胜利][献花],6073,15,2017-04-24 17:06:11,0.9550983997295549
大盘下跌是为了社保进场,2458,10,2017-04-25 14:17:30,0.7369071766354165
600518:康美药业2016年年度股东大会会议资料,27005,9,2017-04-26 16:09:13,0.8302521418390827
e药谷分拆上市？,3972,8,2017-04-24 15:34:48,0.45528748515909656
600518:康美药业:广发证券股份有限公司关于康美,6401,7,2017-04-19 19:36:45,0.9625577207271315
持股康美一年了，还被套了14个点，康美啊，你对,10919,21,2016-05-31 13:01:30,0.7193405862397744
明天高开可能涨停，龙虎榜数据显示主力净买入高,7180,9,2017-04-24 17:18:33,0.8877313879483275
昨天进货,4096,16,2017-04-25 10:55:35,0.35117667057306456
康美药业(600518)融资融券信息(04-24),7161,5,2017-04-25 07:42:56,0.9403317027800453
买确定，炒预期！,3255,9,2017-04-25 09:11:38,0.3612353424814694
感觉康美要冲28元,11104,15,2017-03-23 20:42:36,0.5641754139490491
一些业绩亏损或业绩大幅下滑的公司也成了高送转,2615,12,2017-04-05 20:36:08,0.3747443508884091
一季度战报出来之时很可能冲击25啊，祝愿吧！,15831,13,2017-04-20 10:01:51,0.7383017771504548
600518:康美药业关于国家食品药品监督管理总局,44614,23,2017-04-21 18:29:11,0.014876359000027595
辉煌已至，苦难远逝，人生漫漫路，独孤求败行！,30336,73,2017-03-23 22:11:12,0.9999285252729394
年报速递：康美药业2016年盈利33.40亿元，同比,27697,13,2017-04-19 21:12:08,0.4468210359600473
康美药业拟10派2.05元 ,30378,10,2017-04-19 21:12:07,0.6076441479518926
中国股市就是一次次的侮辱坚持价值投资的人!坚,5268,7,2017-04-18 22:13:53,0.9896365872355187
朱么么画股康美药业(600518)预测图,16897,13,2017-03-12 16:34:25,0.9837969990243239
请问下楼主康美17.22成本价，今年内能不能解套,15367,17,2016-10-26 22:39:04,0.07760224167261809
那写傻逼骂我的人去那了.,8188,12,2017-04-06 09:46:44,0.4231679865855227
康美的半年报出来，会让大家瞠目结舌！基金二季,21647,9,2016-08-22 17:28:39,0.9630200450957808
康美股票每轮修复估值性上涨之前总伴随着贿赂负,15953,16,2017-04-13 12:35:02,0.4401101068693317
20年两首歌唱出康美药业坚守与创新,20647,6,2017-04-12 22:56:28,0.999139510945501
周末愉快,20718,23,2016-05-28 14:14:49,0.6773136443447431
静等一季报，爆发在即……,10326,9,2017-04-10 10:24:47,0.8934603168905075
又玩上个月的路子.明日还是低开尾盘拉升的,7164,29,2017-04-05 15:00:15,0.5356986324604393
小美，你能出格了吗？阿哥等你！,3615,14,2015-10-22 14:19:46,0.5103133612494947
这鸭嘴形的走势真好看，真难得,4858,2,2017-03-31 10:17:12,0.8496689854797834
深港通即将正式启动 深圳券商股成追捧对象迎升,4907,3,2017-03-28 13:22:30,0.14685869027441278
小美咱们别横盘了行不？发发力让我见识一下你的,3945,2,2017-03-01 13:09:47,0.24540360747989642
看饮片向涛头立，待医院于风口起,29235,8,2017-03-29 11:07:58,0.2794331470014402
目前只有康美没有涨了，N多股票都在大涨,4903,1,2017-02-28 06:05:37,0.9798791640874693
st生化,3455,0,2017-02-27 14:45:24,0.4737672181921908
尾盘必有一拉。。。。。,3427,0,2017-02-27 14:13:10,0.17215422164763905
抢筹002038双鹭药业[献花]国家战略，牛股摇篮:2,3071,0,2016-12-12 09:43:57,0.9463346060185795
加油，冲过18.5[鼓掌][献花],8403,21,2017-03-22 11:34:02,0.94357439205405
康美药业(600518)解禁股信息(03-24),13855,15,2017-03-23 00:02:06,0.45542401209435757
个股大部分没有特色，高价不买，低价不碰,1248,4,2017-03-21 10:38:46,0.07460874858886923
龙头阿胶白药强势在。早晚是要长的,1633,3,2017-03-22 12:16:19,0.12856251106107375
小美今天又有了新高，看样子又要横盘了,2933,2,2017-03-23 18:11:51,0.42614612419870923
涨得快跌得也快,2889,1,2016-12-10 21:41:45,0.8231753094597887
康美利空出尽，利好消息不断，股价上涨趋势[鼓,2374,17,2016-11-11 10:05:57,0.229250058569196
康美药业斩获2016年度中国医药物流行业杰出企业,2132,14,2016-11-11 09:51:29,0.9987823267392956
我昨天就说了，今天来拉！！,1578,21,2016-11-11 09:48:58,0.3081466207684812
把缺口补了好一点,1572,23,2016-11-11 09:34:37,0.5900022015642067
明天照样红旗飘飘,1605,23,2016-11-10 21:17:47,0.33679972311586137
奶奶的，17.42被洗了一千股出去，还好重仓没动,2018,23,2016-11-10 16:27:31,0.017796156447878353
康美时代和康美药业是啥关系？,8593,2,2016-12-11 13:58:01,0.9870908709007291
买买买卖卖卖,2511,1,2016-12-12 09:37:53,0.24892932390406952
这厮看来亢龙有悔，比前几次亢奋有劲，量也稍大,2078,0,2017-03-22 07:40:26,0.2073351266568485
因为你是在跟庄，不是在坐庄，,1398,2,2017-03-22 13:58:25,0.32193684157878666
康美药业VS 云南白药    中药老大之争正式打响,3363,0,2017-03-22 13:43:25,0.963241903142317
康美，只会迟到，不会缺席!主力在等什么?,9192,9,2017-03-21 07:23:29,0.8998592895733525
貌似有个小鸡鸡清仓了,3204,1,2017-02-09 13:33:09,0.438187335818503
见证历史，我在深圳车公庙，你在哪？,2825,4,2016-11-14 13:36:43,0.8931342871043428
是谁跑了，恒大？,2418,5,2016-11-14 13:37:00,0.7875940056727204
600518:康美药业:关于开原市中心医院有限公司拟,26529,8,2017-01-25 19:11:52,0.9428041916085155
今天买进康美[满仓][满仓][满仓][满仓][满仓],3756,1,2016-12-08 21:57:06,0.009356629160622854
相信明天的行情,3939,1,2016-12-08 20:52:52,0.7816718599179509
弱爆了[不赞],2054,1,2017-01-03 11:17:34,0.5722243921912048
本人在这里号召康美18万多股东，每人增持6000多,2091,0,2016-11-22 09:05:28,0.5076263014106642
康美，庄家压盘成僵尸！,5608,6,2017-03-08 11:41:03,0.5850627628721231
又见万手压单,2601,1,2016-12-08 10:25:14,0.26691743666799106
多也好，空也罢，给谁看。,2326,0,2016-12-08 06:35:17,0.5007162918503323
海人寿、恒大人寿,2461,0,2016-12-07 19:29:57,0.710430101765849
说什么都没用,2208,0,2016-12-07 16:11:06,0.22614305835191195
不错啊，继续涨,2279,0,2016-12-07 16:10:10,0.9269906816612684
就应该很专业呢,1962,0,2016-12-07 16:08:37,0.7366516475728169
马兴田早晚会出事,45071,19,2015-12-25 17:14:31,0.5048718088360925
2017年投资展望,70531,78,2016-12-30 18:42:07,0.8565381651378305
康美药业(600518)大宗交易数据一览(03-15),22577,5,2017-03-15 18:23:56,0.5524166593405974
一柱擎天么[鼓掌],4948,0,2017-03-15 10:49:41,0.7248403332664425
寻找比康美药业更抗跌的股票,12429,27,2017-03-13 13:57:07,0.9902758408267612
傻逼康美,3112,1,2016-12-01 11:21:39,0.7806606064119387
这股盘中没啥好看的，要小心的是早晚集合竞价,3551,0,2016-12-01 14:31:27,0.012748101784868293
来磨人行情.看谁顶不了[兴奋],2775,3,2016-12-01 10:55:17,0.9764449179138897
今日大盘就是反抽，康美也是，然后进入主杀浪,3113,3,2016-12-01 10:15:56,0.9669877404436878
注意仓位：截止目前为止，各指数均显示资金净流,3172,2,2016-12-01 10:07:50,0.813171483032542
减仓,2689,1,2016-12-01 09:57:06,0.40306518103660427
好，大，盘。,3175,28,2017-03-08 23:18:38,0.43327005742501035
医药板块集体被打压，合理的解释只有一个，給社,14707,6,2017-03-03 21:33:45,0.4054197170659911
600518:康美药业关于全资子公司获得高新技术企,26948,5,2017-02-28 18:53:07,0.574612668326255
