年 交通银行 第三次 突破 元 大关 年 两次,0.00633808504631 0.993661914954
交通银行 高管 薪酬 大幅 增长 报道 实,0.471874887447 0.528125112553
随波逐流,0.500354733537 0.499645266463
交通银行 交银 国际 控股 有限公司 上市,0.667015089021 0.332984910979
早上好 兴奋 年月日 星期五,0.500354733537 0.499645266463
抛 经济 恶化,0.200155363372 0.799844636628
资金 杀 进 股,0.0238432597897 0.97615674021
交通银行 澄清 高管 薪酬 大幅 增长 相关 报道 失,0.0769814219285 0.923018578071
简单 事 很难 事 符合规定,0.146805032049 0.853194967951
交行 拉,0.363860980512 0.636139019488
机构 荐 股 一年 湖北 广电 装睡 增价,0.251921640938 0.748078359062
银行 不拉,0.500354733537 0.499645266463
价位 银行 股 越跌 越 买 慢慢 买,0.0555744034315 0.944425596569
工业革命 凸起 黑 科技 受惠 上市公司 转发,0.400232962294 0.599767037706
啥时候 逃走 请 明人 指路,0.0625306234072 0.937469376593
交通银行 高位 向下 碰耶去 海兴 电力,0.667015089021 0.332984910979
交通银行 合 资格 股 股东 持股 认购股 交银,0.144095047777 0.855904952223
恒生 银行 市净率 倍 市盈率 倍 估值,0.428772497266 0.571227502734
交通银行 年度 净利 增至 亿元 每股 派息,0.750321932189 0.249678067811
高盛 交行 去年 盈利 略胜 预期 评级 卖出,0.200179289301 0.799820710699
东方 财富 经典 版 金源 悄然 调出 有色 金,0.224811628037 0.775188371963
分红 预案 股 转增 股派 元,0.173662540181 0.826337459819
两 大黑 科技 中 率先 实惠 上市公司,0.321609287052 0.678390712948
股破净 市净率 低于,0.500354733537 0.499645266463
交行 踏上 回归 元 征途,0.238054166995 0.761945833005
阵地 丢失 游击 空山 深处 黄金,0.500354733537 0.499645266463
交行 净值 元 元,0.238054166995 0.761945833005
交通银行 收到 中国证监会 交通,0.667015089021 0.332984910979
大腕 交通银行 版,0.250210088691 0.749789911309
交鸡 太贱 长期 高买 低 卖 累及 基民,0.0570581536717 0.942941846328
交行 大涨 股灾,0.500354733537 0.499645266463
中国 估值 最低 银行 股 上涨 股市 希望,0.01576445617 0.98423554383
交通银行 最新 每股 净资产 元 哪来,0.238054166995 0.761945833005
社保 证金 公司 大规模 增持 交行,0.333582294167 0.666417705833
退市 净资产 返还 投资者,0.250210088691 0.749789911309
号 逆势 加仓 交行,0.454860216978 0.545139783022
抛 机构 连拉 股价 制造 概念 人性 贪婪 忽悠,0.111192259201 0.888807740799
过年 翻番 妖 股行情 大牛 胚子 行情 龙头,0.400268836179 0.599731163821
交通银行 收购 巴西 银行 股份 交,0.307835366374 0.692164633626
中信银行 低 理由 交行 没道理 低过 中信 银,0.0831790035327 0.916820996467
全仓 交通 跌 哭哭 哭,0.500093023426 0.499906976574
不涨 风险,0.250210088691 0.749789911309
持有 交通银行,0.500354733537 0.499645266463
玩 大盘股,0.250154007685 0.749845992315
拓展 主 业务 风光 独好 冲刺 黑 科技 金光灿烂 转载,0.0454123448762 0.954587655124
交通银行 大宗 交易 数据 一览,0.400304727217 0.599695272783
回归 交行 挂个 号 交庄 送 钱入 口袋,0.217556496028 0.782443503972
三 季报 业绩 元 三 季报 净资产,0.0866409779302 0.91335902207
交通银行 股权 交割 控股 巴西 银行,0.500354733537 0.499645266463
试论 交通银行 未来 估值 中枢,0.500354733537 0.499645266463
急涨 元,0.3845971501 0.6154028499
交行 打压 实在 想 明白,0.067706690902 0.932293309098
交行 合理化 建议,0.500354733537 0.499645266463
突破 心理障碍 超越,0.333615517011 0.666384482989
交通银行 成功 发行 绿色 金融债券 公,0.428478664827 0.571521335173
大宗 交易 揭秘 交通银行 年 第三季,0.0756179992017 0.924382000798
交通银行 卢森堡 分行 开业 公告,0.500354733537 0.499645266463
交通银行 巴黎 分行 月 日 正式 开业,0.599945196516 0.400054803484
交通银行 交通银行 卢森堡 有限公司,0.500354733537 0.499645266463
交通银行 有望,0.500354733537 0.499645266463
不涨,0.250210088691 0.749789911309
交通银行 国际化 布局 连落 五子 海外 利润 占 提升,0.889087893924 0.110912106076
交通银行 伦敦 分行 开业 公告,0.500354733537 0.499645266463
交行 混改 一年 多牛 行长,0.500354733537 0.499645266463
交行 港股 涨幅 第一 好意思 打压,0.428882357963 0.571117642037
图解 交行 三 季报 拨备 率 微涨,0.0465747417793 0.953425258221
抛 供给 侧 改革 消 产能 库存 必增 银行 呆 坏帐,0.200155363372 0.799844636628
买入 耐心 等待 融资 盘 强平 爆仓时 抄底 迟,0.0270250405549 0.972974959445
此股 必成 妖王 成 妖 仔细 想,0.0441125243148 0.955887475685
美国股市 银行 股 市盈率,0.251921640938 0.748078359062
停牌 王 沙隆达 本月 日复牌 沙隆达 十大,0.667015089021 0.332984910979
调整 混改 交行 务实 补涨,0.750321932189 0.249678067811
交通银行 业务 总监 吕本 献辞,0.500354733537 0.499645266463
股本 月 剩下 时间 补跌 月 破元 止跌 下波,0.13049401092 0.86950598908
交通银行 获准 发行 绿色 金融债券 公,0.333215967176 0.666784032824
交通银行 获准 发行 超过 亿元 绿色 金融债券,0.333615517011 0.666384482989
交通银行 未 分配利润 元 没红分 建,0.135056294318 0.864943705682
交通银行 年 第一次 临时 股东,0.155486468076 0.844513531924
摩通 交行 目标价 看高至 元 评级 减持,0.135091220722 0.864908779278
交通银行 年度 期初 不良贷款 余额 达 亿,0.963972389518 0.0360276104824
交通银行 亿股 优先股 拟于 月 日 挂牌 上交所,0.230622639356 0.769377360644
交通银行 公告,0.500354733537 0.499645266463
交通银行 筹备 参与 不良资产 证券化 试点,0.667015089021 0.332984910979
常熟 银行 股东 交行 交通银行 持有 常熟 银行,0.333615517011 0.666384482989
交行 拟 分拆 交银 国际 港 上市 银行业务 分拆 或成,0.333582294167 0.666417705833
快速 下跌 好事 只能 买入 卖出,0.500354733537 0.499645266463
抛 交通银行 股价 高 溢价 股 同股 同权,0.0219693097741 0.978030690226
交通银行 大宗 交易 数据 一览,0.400304727217 0.599695272783
交通银行 大宗 交易 数据 一览,0.400304727217 0.599695272783
交行 破净 太 离谱 半年报 数据 醍醐灌顶 茅,0.272860504176 0.727139495824
净值 增加 拓展 贝塔,0.500354733537 0.499645266463
交通银行 卖 买进 建设银行 交通银行 确,0.250210088691 0.749789911309
交行 分拆 交银 国际 来港 上市,0.667015089021 0.332984910979
证金 公司 减持 交通银行 股份,0.333582294167 0.666417705833
证金 公司 减持 万股 跌成 狗,0.667015089021 0.332984910979
我进 晚上 睡不着 想 哭,0.194992267423 0.805007732577
银行 股 价值 股评 洗脑,0.161318029054 0.838681970946
智慧 告诉 九成 股民 智慧,0.75037793365 0.24962206635
有没有 约炮 元 艹,0.238054166995 0.761945833005
港股 交行 港币,0.500354733537 0.499645266463
交通银行 第八届 董事会 第二次 会议 决议 公,0.499905295536 0.500094704464
供给 侧 水泥 板块 年收入 超高 轮动 市场 热点,0.142976055464 0.857023944536
交通银行 大宗 交易 数据 一览,0.400304727217 0.599695272783
交通银行 大宗 交易 数据 一览,0.400304727217 0.599695272783
交通银行 企业 文化部 原 总经理 胡晏斌 涉嫌 受贿 公,0.499905295536 0.500094704464
全球 迅猛 布局 黑 科技 产业链 一家 黑 科技 巨头,0.14293942742 0.85706057258
老股民 喋血 忠告 股友 买 万科,0.259416950753 0.740583049247
交通银行 股 年度 分红 派息 实施方案 公,0.33524144732 0.66475855268
请教,0.500354733537 0.499645266463
成本 站岗 小伙伴 钱 装修,0.222208999451 0.777791000549
外管局 扫货 风暴 扩散 中金公司 建议 超配 股票,0.200179289301 0.799820710699
交通银行 境内 非 公开 发行 优先股 申请,0.222079535248 0.777920464752
小交 主力 小交 深深,0.500354733537 0.499645266463
买 山腰上 套 说 说 我解,0.0428187833548 0.957181216645
买入 机会,0.400304727217 0.599695272783
交通 图 成绩 亏损,0.285912423115 0.714087576885
交通银行 分析 月,0.23088844851 0.76911155149
历史 惊人 交通银行 主动,0.0526650963458 0.947334903654
没想到 心头 贱庄 玩法 满面 泪,0.400304727217 0.599695272783
交 行情 何以堪 每股 净资产 元 一季度 每股 收,0.0288283266546 0.971171673345
交通银行 境内 发行 优先股 申请 获 证监会 审核,0.31261211754 0.68738788246
交通银行 年度 股东大会 通,0.473328299194 0.526671700806
买入 交通银行 涨 分红 同意 这观,0.119912822525 0.880087177475
交行 年 一季度 业绩 三稳 两优,0.269156668137 0.730843331863
利空 保监会 叫停 年期 理财 型 保险产品 年产,0.12505714228 0.87494285772
请 一句 话 评价 交通银行,0.0487630898544 0.951236910146
持有 万股 交行,0.500354733537 0.499645266463
交通银行 年 第一季度 报告,0.424186907037 0.575813092963
交通银行 大涨 月 日,0.230622639356 0.769377360644
银行 股 年报 透露 惊天 线索 外汇局 大手笔 杀 入股,0.118665498998 0.881334501002
发现 建设银行 交通银行 分红 股票 价,0.110970482771 0.889029517229
交通银行 股 年 年度报告,0.110198602729 0.889801397271
交通银行 成就 混合 所有制 改革 第一股,0.667015089021 0.332984910979
两市 整体 市盈率 相比 年 沪 指点,0.197099834669 0.802900165331
交通银行 境内 非 公开 发行 优先股 申请,0.222079535248 0.777920464752
不良 指标 银行 报表 骗,0.181962637107 0.818037362893
交行 企化部 两 负责人 涉嫌 受贿 被查 金额 达,0.727791215286 0.272208784714
第一 目标 位 攻击 净资产 元,0.0128259709909 0.987174029009
回归 行运 之神 心头 交行,0.500354733537 0.499645266463
郁闷 低于 净资产,0.500354733537 0.499645266463
国有银行 私有化 议程 预计 卷土重来,0.250210088691 0.749789911309
一季度 新增 信贷 或超 万亿 新开工 项目 将成,0.333615517011 0.666384482989
雄关 慢慢 从头越 黒 马 骑任 遨游,0.500354733537 0.499645266463
曹中铭 外汇局 旗下 投资 平台 臆想 国家,0.800274688319 0.199725311681
便宜 港股 通 交行 股才 钱 开 港股 通,0.0354861056758 0.964513894324
交通银行 行长 力争 成 首批 员工 持股 国有 银,0.27613047811 0.72386952189
月 日 股市 早盘 内参 年 首例 清盘 公募 基金,0.0522317345656 0.947768265434
幽灵 黑色 幽灵 一种 黑 科技 东方 大国 兴,0.250154007685 0.749845992315
国家 外汇局 炒股 全资 子公司 悄然 跻身 两家,0.889073156371 0.110926843629
交通银行 年 年报 摘要,0.269156668137 0.730843331863
交通银行 去年 利增拟 派 元,0.0819052152534 0.918094784747
股月 净流入 资金 逾 千亿元 银行 股等 成大单 抄底,0.500354733537 0.499645266463
规模 扩张 稳健 资产 质量 压力 持续,0.250210088691 0.749789911309
交通银行 年报 净利润 亿 同比 增长 拟派,0.217505580318 0.782494419682
深化改革 首份 年报 交行 三稳 三进,0.500354733537 0.499645266463
交通银行 年 年报,0.269156668137 0.730843331863
交通银行 股 公告 年月日 止,0.0296619429425 0.970338057057
港股 交行 价位 元 港币 今日 跌幅,0.135091220722 0.864908779278
个股 连续 下跌 超过 三日,0.500354733537 0.499645266463
个股 连续 下跌 超过 三日,0.500354733537 0.499645266463
看唱空 嘴脸,0.500354733537 0.499645266463
个股 连续 下跌 超过 三日,0.500354733537 0.499645266463
买 股 明天 涨 一个点 卖,0.0310628227035 0.968937177296
交通银行 境内 发行 优先股 获 中国 银监,0.185241388161 0.814758611839
规模 扩张 稳健 关注 混改 实质 落地,0.470941761695 0.529058238305
金融 改革 先行者 财富 管理 分拆 未来 看点,0.117716823772 0.882283176228
上调 股 评级,0.144095047777 0.855904952223
请 持股 理由,0.142976055464 0.857023944536
交通银行 今日 超大 流入 排名第 名,0.299668489751 0.700331510249
利空 外资 撤退 中国 险资成 华夏银行 接盘,0.500354733537 0.499645266463
坐电梯 抛出 股价 已超 股价,0.500354733537 0.499645266463
权重 护盘 难挡 个股 杀跌,0.333615517011 0.666384482989
心头 交行 贱庄 折磨 法心 痛,0.0384698106061 0.961530189394
请 持股 理由,0.142976055464 0.857023944536
抛 经济 每况愈下 银行 券商 倒闭 潮,0.00259411143056 0.997405888569
交通银行 股 公告 股份 发行人 证券 变动,0.100896700758 0.899103299242
拨备 捉襟见肘 估值 吸引力 较大 增持,0.500354733537 0.499645266463
好货 便宜 加点 增仓,0.500354733537 0.499645266463
月 涨幅 低 通胀 格局 延续,0.0981947115234 0.901805288477
公积金 加息 存款 利率 统一 一年 定存 计,0.0909646366454 0.909035363355
抛 机构 拉升 诱多 解放军,0.200155363372 0.799844636628
关注 理由 交行 每股 净资产 元 交行 目,0.172381494919 0.827618505081
连平 年 商品房 销售 形势 房价 稳中略,0.269156668137 0.730843331863
董事长 辞职 跌破 净资产 国有资产 巨额 损失,0.333615517011 0.666384482989
交通银行 董事长 牛锡明 戴绿帽子,0.333615517011 0.666384482989
交通银行 交通银行 股份 有限公司 发行,0.500354733537 0.499645266463
交行 有望 大涨 养老 资金 第一 选择,0.428882357963 0.571117642037
交通银行 太平洋 借记卡 斯沃琪 贝拉 米 支付 腕表,0.500354733537 0.499645266463
年 经济 增长 前低 稳 呈现 四大 亮点,0.563309545186 0.436690454813
回归 心头 交行,0.500354733537 0.499645266463
元 下方 增仓 交行,0.238054166995 0.761945833005
交通银行 马续 田 银行 财富 管理 规模 未来,0.285912423115 0.714087576885
熔断 机制 下应 树立 心态,0.500354733537 0.499645266463
半年 银行 板块 两次 破净 历次 银行 股破净,0.100073948882 0.899926051118
金融机构 混业 之门 打开 银行 股 全新 投资 逻辑,0.183321487374 0.816678512626
把握 牛股 特征 题材 找 两市 唯一性 垄,0.800274688319 0.199725311681
机构 最新动向 揭示 周二 挖掘 黑马 股,0.100896700758 0.899103299242
图 画 主力 请 采纳,0.117716823772 0.882283176228
交通银行 高管 持股 变动 信息,0.0769814219285 0.923018578071
建设银行 流通盘 万科,0.250210088691 0.749789911309
交行 拓展 互联网 期货 服务 新 模式,0.393776524439 0.606223475561
交通银行 回来,0.500354733537 0.499645266463
卖 交通银行 明天 后悔 不信 明天 走,0.0769389434421 0.923061056558
银行 利空 放开 存款 利率 浮动 上限 缩减 存贷,0.00147829667291 0.998521703327
内部消息 收盘 出新,0.500354733537 0.499645266463
真 想到 持股 百年 交行 一年,0.440983464159 0.559016535841
人民币 纳入 下周一 投票 概念股 受益,0.333615517011 0.666384482989
交通银行 获 银团 贷款 两项 大奖,0.185241388161 0.814758611839
下周 交行 光大银行 光大 证券 合并 连续 暴涨 刺激,0.500354733537 0.499645266463
月 大中城市 房价 涨势 疲弱 年底 前 出台 刺激,0.0724546782199 0.92754532178
万打 新 交通 商 银行 赚 元 股票 下跌 亏,0.0482064916843 0.951793508316
中国 三季度 增速 六年 首度 破,0.0999258029584 0.900074197042
核心 受益 股,0.144095047777 0.855904952223
年 三 季报 点评 资产 利用效率 提升 关注 负债,0.0693737314834 0.930626268517
忐忑 分 全仓,0.326052111643 0.673947888357
机构 预测 月 降幅 宽松 政策 多箭齐,0.643114158084 0.356885841916
华泰 证券 国企改革 风樯 动 甄选 改革 潜力 标的,0.941378879745 0.0586211202547
国企改革 风樯 动 金融 压轴 宏图,0.842551926794 0.157448073206
交通银行 传达 学习 贯彻 党 十八 届 五中全会 精神,0.923241170326 0.0767588296745
主力 机构 三季度 增持 个股 出炉 增仓前 股看,0.500354733537 0.499645266463
交通银行 前三季 净利 亿元 增长,0.333615517011 0.666384482989
买 交通银行 天天 盼 大盘 跌 拜神,0.0190442006279 0.980955799372
交通银行 英国 贸易 投资 总署 签订 合作 谅解 备忘录,0.800298573535 0.199701426465
三季度 破 成 定局 降准 预期 加大,0.0405973648337 0.959402635166
交通银行 股 公告 股份 发行人 证券 变动,0.100896700758 0.899103299242
这位 优雅 女士 上交所 开业,0.750321932189 0.249678067811
持有 交通银行 一可防 跌 二 补涨 三有 投资 价值,0.0175039299645 0.982496070035
龙虎榜 掘金 月 股 超跌 获 机构 席位 净买,0.268435500814 0.731564499186
建言 钢 国家队 纠正 救市 中 错误 决策,0.11223209802 0.88776790198
房地产 投资 增速 降 历史 最低 宽 货币 刺激 工具,0.00222501278955 0.99777498721
无数 股民 痛不欲生 黄河 大合唱 股票,0.200179289301 0.799820710699
交行 唯一 破净 优质 银行,0.800298573535 0.199701426465
银行 板块 跌幅 靠前 交行 领跌,0.250210088691 0.749789911309
交通银行 今日 超大 流入 排名第 名,0.299668489751 0.700331510249
交行 提速 大资管 战略 铺垫 混业 改革,0.667015089021 0.332984910979
交通银行 世界 斯诺克 上海 沃德 大师赛 正式 开杆,0.625402522541 0.374597477459
四大 券商 揭秘 国企改革 投资 机会 附 股票 池,0.0137036740962 0.986296325904
交通银行 核心 管理人员 买入 公司 股,0.402491848195 0.597508151805
不看 后悔 机构 低位 吸筹过 亿大单 砸 股,0.251921640938 0.748078359062
交通银行 核心 管理人员 合计 买入 万股 股,0.251921640938 0.748078359062
讨论 交行 午后 强势 反弹 后市,0.667015089021 0.332984910979
银行 股砸盘 哪般 近期 规避 风险,0.500354733537 0.499645266463
交通银行 龙虎榜 数据,0.500354733537 0.499645266463
节前 机构 一百多 亿 只出 亿 明天 低开,0.217505580318 0.782494419682
龙虎榜 机构 争先恐后 出逃,0.500354733537 0.499645266463
讨论 缩量 大跌 交通银行 反弹 路 终结,0.0370183375349 0.962981662465
交通银行 今日 超大 流出 排名第 名,0.124794749927 0.875205250073
银行 板块 砸 盘 沪 指 重挫 跌 逾,0.00376431911679 0.996235680883
讨论 下周 银行 股 上冲,0.251921640938 0.748078359062
交行 庄 习惯 分析 这波 十元,0.500354733537 0.499645266463
交行 下周 还会 拉升 预估 会到 几元,0.500354733537 0.499645266463
李大霄 期指 巨亏 做 空 中午 文章 题目,0.0105267597916 0.989473240208
个股 尾盘 净流入 资金 超 亿元,0.134127801303 0.865872198697
银行 股已 机构 疯狂 爆炒 已难 投机 价值,0.363860980512 0.636139019488
海南 银行 揭牌 试营业 交通银行 战略 投资者,0.667015089021 0.332984910979
股 龙虎榜 揭秘 机构 最亲睐 股,0.100896700758 0.899103299242
交通银行 龙虎榜 数据,0.500354733537 0.499645266463
十几分钟 上块 姐特 发自 拍裸,0.500354733537 0.499645266463
交通银行 今日 超大 流入 排名第 名,0.299668489751 0.700331510249
专访 交行 董事长 牛锡明 交行 深改 国际化 提速 提,0.0526352649288 0.947364735071
内忧外患 股 绝处逢生,0.251921640938 0.748078359062
早上 进仓 回来,0.500354733537 0.499645266463
银行 股 单骑 救主 华泰 称 下半年 收益,0.116577722205 0.883422277795
交通银行 今日 超大 流入 排名第 名,0.299668489751 0.700331510249
交通银行 大宗 交易 数据 一览,0.400304727217 0.599695272783
上半年 业绩 符合 预期,0.500354733537 0.499645266463
五百万 手 买单 算 恶意 做,0.0209662696436 0.979033730356
讨论 尾盘 异动 拉升 中级 反弹,0.667015089021 0.332984910979
银行 股 王 男人 前线 成 引领 大盘 反弹 中,0.038949190054 0.961050809946
停止 股指 期货,0.500354733537 0.499645266463
华泰 证券 罗毅 金融 国企改革 重头戏 三 路线 掘,0.0919987263476 0.908001273652
交通银行 今日 超大 流入 排名第 名,0.299668489751 0.700331510249
强烈要求 关闭 股指 期货 取消 印花税 恢复 场外 配,0.500354733537 0.499645266463
交行 员工 股权 激励 方案 国有 行中 首家 试点,0.500354733537 0.499645266463
交通银行 年 半年报 摘要,0.269156668137 0.730843331863
交通银行 公布 年 中期 业绩,0.424186907037 0.575813092963
透过 梅雁 吉祥 本质,0.667015089021 0.332984910979
交行 超跌,0.500354733537 0.499645266463
交通银行 融资 融券 信息,0.142976055464 0.857023944536
证金 公司 救市 买 股票 标准 老子 妈,0.0419191373058 0.958080862694
交通银行 公告 下跌 可怕 好戏 刚刚开始,0.500354733537 0.499645266463
解禁 利空 增发 三年 限售 时间,0.250210088691 0.749789911309
交通银行 解禁 股 信息,0.144095047777 0.855904952223
下周 解禁 交通银行 亿定 增股 日 上市,0.499980370129 0.500019629871
买 想 死 心,0.0043015653648 0.995698434635
交通银行 股份 有限公司 筹划 事项 停牌 公,0.333215967176 0.666784032824
